Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
23,2016-04-08,20:43:00,F9 FT B1021.1,CCAFS LC-40,3136,LEO (ISS),NASA (CRS),,Success  (drone ship)
24,2016-05-06,5:21:00,F9 FT B1022,CCAFS LC-40,4696,GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
25,2016-05-27,21:39:00,F9 FT B1023.1,CCAFS LC-40,3100,GTO,Thaicom,Success,Success  (drone ship)
26,2016-06-15,14:29:00,F9 FT B1024,CCAFS LC-40,3600,GTO,ABS Eutelsat,Success,Failure  (drone ship)
27,2016-07-18,4:45:00,,CCAFS LC-40,2257,LEO (ISS),NASA (CRS),Success,Success (ground pad)
28,2016-08-14,5:26:00,F9 FT B1026,CCAFS LC-40,4600,GTO,SKY Perfect JSAT Group,Success,
29,2017-01-14,17:54:00,F9 FT B1029.1,VAFB SLC-4E,9600,Polar LEO,Iridium Communications,Success,Success  (drone ship)
30,2017-02-19,14:39:00,F9 FT B1031.1,KSC LC-39A,2490,LEO (ISS),NASA (CRS),Failure ,Success (ground pad)
31,2017-03-16,6:00:00,F9 FT B1030,KSC LC-39A,5600,GTO,EchoStar,Success,No attempt
32,,22:27:00,F9 FT  B1021.2,KSC LC-39A,5300,GTO,SES,Success,Success (drone ship)
33,2017-05-01,11:15:00,F9 FT B1032.1,KSC LC-39A,,LEO,NRO,Success,Success (ground pad)
34,2017-05-15,23:21:00,F9 FT B1034,KSC LC-39A,6070,GTO,Inmarsat,Success,No attempt
35,2017-06-03,21:07:00,F9 FT B1035.1,KSC LC-39A,2708,LEO (ISS),NASA (CRS),,Success (ground pad)
36,2017-06-23,19:10:00,F9 FT  B1029.2,KSC LC-39A,3669,GTO,Bulsatcom,Success,Success (drone ship)
37,2017-06-25,20:25:00,F9 FT B1036.1,VAFB SLC-4E,9600,LEO,Iridium Communications,Success,Success (drone ship)
38,2017-07-05,23:38:00,F9 FT B1037,KSC LC-39A,6761,GTO,Intelsat,Success,No attempt
39,2017-08-14,16:31:00,F9 B4 B1039.1,KSC LC-39A,3310,LEO (ISS),NASA (CRS),Success,Success (ground pad)
40,2017-08-24,18:51:00,F9 FT B1038.1,VAFB SLC-4E,475,SSO,NSPO,Success,Success (drone ship)
41,2017-09-07,14:00:00,F9 B4 B1040.1,KSC LC-39A,4990,LEO,U.S. Air Force,Success,Success (ground pad)
42,2017-10-09,12:37:00,F9 B4 B1041.1,VAFB SLC-4E,9600,Polar LEO,Iridium Communications,Success,Success (drone ship)
43,2017-10-11,22:53:00,F9 FT  B1031.2,KSC LC-39A,5200,GTO,SES EchoStar,Success,Success (drone ship)
44,2017-10-30,19:34:00,F9 B4 B1042.1,KSC LC-39A,3500,GTO,KT Corporation,Success,Success (drone ship)
45,2017-12-15,15:36:00,F9 FT  B1035.2,CCAFS SLC-40,2205,LEO (ISS),NASA (CRS),Success,Success (ground pad)
46,2017-12-23,1:27:00,F9 FT  B1036.2,VAFB SLC-4E,9600,Polar LEO,Iridium Communications,Success,Controlled (ocean)
47,2018-01-08,1:00:00,F9 B4 B1043.1,CCAFS SLC-40,Classified,LEO,Northrop Grumman,,Success (ground pad)
48,2018-01-31,21:25:00,F9 FT  B1032.2,CCAFS SLC-40,4230,GTO,SES,Success,Controlled (ocean)
,2018-02-06,20:45:00,,KSC LC-39A,"~1,250",Heliocentric 0.99–1.67 AU  (close to Mars transfer orbit),SpaceX,Success,
49,2018-02-22,14:17:00,F9 FT  B1038.2,VAFB SLC-4E,2150,SSO,Hisdesat exactEarth SpaceX,Success,No attempt
50,2018-03-06,5:33:00,F9 B4 B1044,CCAFS SLC-40,6092,GTO,Hispasat  NovaWurks,Failure ,No attempt
51,2018-03-30,14:14:00,F9 B4  B1041.2,VAFB SLC-4E,9600,Polar LEO,Iridium Communications,Success,No attempt
52,2018-04-02,20:30:00,F9 B4  B1039.2,CCAFS SLC-40,2647,LEO (ISS),NASA (CRS),Success,
53,2018-04-18,22:51:00,F9 B4 B1045.1,CCAFS SLC-40,362,HEO,,Success,Success (drone ship)
54,2018-05-11,20:14:00,F9 B5  B1046.1,KSC LC-39A,3600,GTO,Thales-Alenia/BTRC,Success,Success (drone ship)
55,2018-05-22,19:47:58,F9 B4  B1043.2,VAFB SLC-4E,6460,Polar LEO,Iridium Communications GFZ • NASA,Success,No attempt
56,2018-06-04,4:45:00,F9 B4  B1040.2,CCAFS SLC-40,5384,GTO,SES,Success,No attempt
