Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries)
Casio Exilim EX-Z500,2005,2560,2304,5,38,114,40,17,8,127
Casio Exilim EX-Z55,2004,2560,2048,5,35,105,50,6,9,180
Casio Exilim EX-Z57,2005,2560,2048,4,35,105,40,6,9,175
Casio Exilim EX-Z60,2006,2816,2304,6,38,114,40,10,8,148
Casio Exilim EX-Z70,2006,3072,2560,7,38,114,40,10,8,140
Casio Exilim EX-Z700,2006,3072,2560,7,38,114,40,15,8,154
Casio Exilim EX-Z75,2007,3072,2560,7,38,114,40,10,8,156
Casio Exilim EX-Z750,2005,3072,2304,7,38,114,40,10,9,165
Casio Exilim EX-Z77,2007,3072,2560,7,38,114,40,10,11,128
Casio Exilim EX-S770,2006,3072,2560,7,38,114,40,15,6,176
Casio Exilim EX-Z850,2006,3264,2816,8,38,114,40,10,8,185
Casio GV-10,2001,1280,640,1,35,35,60,10,8,320
Casio GV-20,2002,1600,800,1,35,35,60,10,8,320
Casio QV-2000UX,1999,1600,800,1,36,108,50,20,8,320
Casio QV-2100,2001,1600,800,1,41,41,80,20,16,260
Casio QV-2300UX,2000,1600,800,1,41,123,10,1,8,245
Casio QV-2400UX,2001,1600,800,1,41,123,10,1,8,245
Casio QV-2800UX,2000,1600,800,1,40,320,40,1,8,295
Casio QV-2900UX,2001,1600,800,1,40,320,40,1,8,295
Casio QV-3EX,2000,2048,1024,3,41,41,50,10,16,245
Casio QV-300,1996,640,320,0,47,106,60,9,4,290
Casio QV-3000EX,2000,2048,1024,3,33,100,30,6,16,360
Casio QV-3500EX,2001,2048,1024,3,33,100,30,6,16,360
Casio QV-4000,2001,2240,1600,3,34,102,30,6,16,420
Casio QV-5000SX,1998,1280,640,1,35,35,30,10,8,320
Casio QV-5500SX,1999,1280,640,1,36,36,30,10,8,320
Casio QV-5700,2002,2560,1600,4,34,102,30,6,16,420
Casio QV-700,1997,640,0,0,38,38,70,14,4,290
Casio QV-7000SX,1998,1280,640,1,32,64,23,10,8,320
Casio QV-770,1998,640,0,0,38,38,70,14,4,300
Casio QV-8000SX,1999,1280,640,1,40,320,40,1,8,320
Casio QV-R3,2002,2048,1600,3,38,113,40,14,11,240
Casio QV-R4,2002,2304,2240,4,38,113,40,14,11,240
Casio QV-R40,2003,2304,2240,4,39,117,60,10,11,210
Casio QV-R41,2004,2304,2240,3,39,117,60,10,9,198
Casio QV-R51,2004,2560,2048,4,39,117,60,10,9,210
Casio QV-R61,2004,2816,2048,6,39,117,70,10,9,218
Casio QV-R62,2004,2816,2048,6,39,117,70,10,9,218
Contax N Digital,2000,3040,0,6,0,0,0,0,0,0
Contax TVS Digital,2002,2560,1600,4,35,105,60,15,0,260
Epson PhotoPC 800,1999,1600,640,1,38,38,50,15,8,280
Epson PhotoPC 850 Zoom,1999,1600,640,1,35,105,0,0,0,0
Epson PhotoPC L-500V,2004,2560,1600,4,34,102,50,5,16,200
Epson PhotoPC 3000 Zoom,2000,2048,640,3,34,102,50,5,16,360
Epson PhotoPC 3100 Zoom,2001,2048,1600,3,34,102,50,5,16,360
Epson PhotoPC 500,1997,640,320,0,43,43,60,20,2,320
Epson PhotoPC 550,1997,640,320,0,43,43,60,10,1,170
Epson PhotoPC 600,1997,1024,640,0,36,36,50,20,4,270
Epson PhotoPC 650,1999,1152,640,0,39,39,60,15,8,400
Epson PhotoPC 700,1998,1280,640,1,35,35,50,10,4,0
Epson PhotoPC 750 Zoom,1998,1280,640,1,34,102,80,20,8,0
Epson PhotoPC L-300,2003,2048,1600,3,34,102,50,11,16,285
Epson PhotoPC L-400,2003,2304,1600,4,34,102,50,11,16,285
Epson PhotoPC L-410,2004,2304,1600,4,34,102,50,11,16,203
Epson R-D1,2004,3008,2240,6,0,0,0,0,0,620
Fujifilm FinePix 40i,2000,2400,1280,2,36,36,50,6,64,200
Fujifilm FinePix 50i,2001,2400,1600,2,36,36,50,6,64,200
Fujifilm DS-260HD,1999,1280,640,1,35,105,90,25,4,700
Fujifilm DS-300,1997,1280,640,1,35,105,20,20,0,700
Fujifilm FinePix 1300,2000,1280,640,1,38,38,80,8,8,240
Fujifilm FinePix 2300,2001,1600,1280,1,36,36,80,8,8,240
Fujifilm FinePix 2400 Zoom,2000,1600,1280,1,38,114,80,10,8,290
Fujifilm FinePix 2600 Zoom,2001,1600,1280,1,38,114,80,10,16,260
Fujifilm FinePix 2650,2002,1600,1280,1,38,114,80,8,16,235
Fujifilm FinePix 2800 Zoom,2001,1600,1280,1,38,228,80,10,16,360
Fujifilm Finepix 30i,2001,1600,1280,1,38,38,60,8,16,200
Fujifilm FinePix 3800,2002,2048,1600,3,38,228,80,10,16,400
Fujifilm FinePix 4800 Zoom,2001,2400,1600,2,36,108,60,20,16,280
Fujifilm FinePix 4900 Zoom,2000,2400,1600,2,35,210,50,10,16,450
Fujifilm FinePix 6800 Zoom,2001,2832,2048,3,36,108,60,20,16,280
Fujifilm FinePix 6900 Zoom,2001,2832,2048,3,35,210,50,10,16,450
Fujifilm FinePix A101,2001,1280,640,1,36,36,80,8,8,190
Fujifilm FinePix A120,2004,2016,1600,3,38,38,80,9,16,170
Fujifilm FinePix A200,2002,1600,1280,1,36,36,80,8,16,180
Fujifilm FinePix A201,2001,1600,1280,1,36,36,80,8,16,190
Fujifilm FinePix A203,2002,1600,1280,1,38,114,60,10,16,180
Fujifilm FinePix A205 Zoom,2003,1600,1280,1,36,108,80,10,16,225
Fujifilm FinePix A210 Zoom,2003,2048,1600,3,36,108,80,10,16,225
Fujifilm FinePix A303,2002,2048,1600,3,38,114,60,10,16,180
Fujifilm FinePix A310 Zoom,2003,2816,2048,3,38,114,60,10,16,190
Fujifilm FinePix A330,2004,2016,1600,3,38,114,60,10,16,160
Fujifilm FinePix A340,2004,2272,1600,4,38,114,60,10,16,160
Fujifilm FinePix A345 Zoom,2005,2304,2048,4,35,105,60,6,16,192
Fujifilm FinePix A350 Zoom,2005,2592,2048,5,35,105,60,6,16,192
Fujifilm FinePix A400 Zoom,2006,2303,1600,4,38,114,60,10,12,170
Fujifilm FinePix A500 Zoom,2006,2592,2048,5,38,114,60,10,12,170
Fujifilm FinePix A600 Zoom,2006,2848,2048,6,36,108,50,10,12,195
Fujifilm FinePix A610,2007,2848,2048,6,39,117,60,10,10,195
Fujifilm FinePix A800,2007,3296,2304,8,36,108,50,10,10,200
Fujifilm FinePix A820,2007,3296,2304,8,39,156,60,10,10,205
Fujifilm FinePix A900,2007,3488,2048,9,39,156,60,10,10,205
Fujifilm FinePix A920,2007,3488,2592,9,39,156,60,10,10,206
Fujifilm FinePix E500 Zoom,2004,2304,1600,4,28,91,60,6,16,226
Fujifilm FinePix E510 Zoom,2004,2592,2048,5,28,91,60,2,16,226
Fujifilm FinePix E550 Zoom,2004,4048,2048,6,32,130,60,7,16,260
Fujifilm FinePix E900 Zoom,2005,3488,2592,9,32,128,60,7,16,260
Fujifilm FinePix F10 Zoom,2005,2848,2048,6,36,108,60,8,16,190
Fujifilm FinePix F11 Zoom,2005,2848,2048,6,36,108,60,5,16,190
Fujifilm FinePix F20 Zoom,2006,2848,2048,6,36,108,60,5,10,190
Fujifilm FinePix F30 Zoom,2006,2848,2048,6,36,108,60,5,10,185
Fujifilm FinePix F31 fd,2006,2848,2048,6,36,108,60,5,26,185
Fujifilm FinePix F401 Zoom,2002,2304,1600,2,38,114,60,10,16,200
Fujifilm FinePix F402,2002,2304,1600,2,39,39,50,6,16,145
Fujifilm FinePix F40 fd,2007,3296,2304,8,36,108,45,7,25,181
Fujifilm FinePix F410 Zoom,2003,2816,2048,3,38,114,60,10,16,205
Fujifilm FinePix F420 Zoom,2003,2816,2048,3,36,108,60,8,16,180
Fujifilm FinePix F440 Zoom,2004,2304,1600,3,38,130,60,9,16,180
Fujifilm FinePix F450 Zoom,2004,2592,2048,5,38,130,60,9,16,180
Fujifilm FinePix F455 Zoom,2004,2592,2048,5,38,130,60,9,16,180
Fujifilm FinePix F470 Zoom,2006,2816,2048,6,35,105,70,10,16,150
Fujifilm FinePix F480 Zoom,2007,3264,2304,8,28,112,40,5,12,170
Fujifilm FinePix F50 fd,2007,4000,2848,12,35,105,45,7,25,205
Fujifilm FinePix F601Z,2002,2832,2048,3,36,108,60,20,16,280
Fujifilm FinePix F610,2003,4048,2848,6,35,105,60,9,16,205
Fujifilm FinePix F650 Zoom,2006,2816,2048,6,36,180,60,3,32,200
Fujifilm FinePix F700,2003,2832,2048,3,35,105,60,9,16,205
Fujifilm FinePix F710,2004,2832,2048,3,32,130,60,8,16,225
Fujifilm FinePix F810 Zoom,2004,4048,2848,6,32,130,60,7,16,250
Fujifilm FinePix IS-1,2007,3488,2592,9,28,300,0,0,0,750
Fujifilm FinePix M603,2002,2832,2048,3,38,76,60,20,16,280
Fujifilm FinePix S20 Pro,2004,2832,2016,6,35,210,50,1,16,597
Fujifilm FinePix S3000 Z,2003,2048,1600,3,38,228,80,10,16,400
Fujifilm FinePix S3500 Zoom,2004,2272,1600,4,39,234,80,10,16,385
Fujifilm FinePix S5000 Z,2003,2816,2048,3,37,370,90,10,16,430
Fujifilm FinePix S5100 Zoom,2004,2272,1600,4,37,370,90,10,16,387
Fujifilm FinePix S5200 Zoom,2005,2592,2048,5,38,380,90,1,16,470
Fujifilm FinePix S5700 Zoom,2007,3072,2304,7,38,380,30,10,27,406
Fujifilm FinePix S6000 fd,2006,2848,2048,6,28,300,40,10,10,700
Fujifilm FinePix S602Z,2002,2832,2048,3,35,210,50,1,16,590
Fujifilm FinePix S602Z Pro,2002,2832,2048,3,35,210,50,1,340,590
Fujifilm FinePix S7000 Z,2003,4048,2848,6,35,210,50,1,16,590
Fujifilm FinePix S8000 fd,2007,3264,2304,8,27,486,70,10,58,510
Fujifilm FinePix S9000 Z,2005,3488,2592,9,28,300,50,1,16,745
Fujifilm FinePix S9100,2006,3488,2592,9,28,300,0,0,0,750
Fujifilm FinePix V10 Zoom,2006,2592,2048,5,36,130,60,9,16,185
Fujifilm FinePix Z1,2005,2592,2048,5,36,108,60,8,16,170
Fujifilm FinePix Z10  fd,2007,3072,2304,7,38,114,60,8,54,160
Fujifilm FinePix Z2,2005,2592,2048,5,36,108,60,8,16,170
Fujifilm FinePix Z3,2006,2592,2048,5,36,108,60,8,10,170
Fujifilm FinePix IS Pro,2007,4256,3024,6,0,0,0,0,0,920
Fujifilm MX-1200,1999,1280,640,1,38,38,70,10,4,240
Fujifilm MX-1400,2000,1280,640,1,38,114,80,10,4,390
Fujifilm MX-1500,1999,1280,640,1,38,38,50,10,4,250
Fujifilm MX-1700,1999,1280,640,1,38,114,80,20,8,270
Fujifilm MX-2700,1999,1800,1280,2,35,35,50,9,4,260
Fujifilm MX-2900 Zoom,1999,1800,1280,2,35,105,90,25,8,385
Fujifilm FinePix 4700 Zoom,2000,2400,1280,2,36,108,80,20,16,280
Fujifilm MX-500,1998,1280,640,1,35,35,50,9,2,220
Fujifilm MX-600 Zoom,1999,1280,640,1,38,115,90,25,4,0
Fujifilm MX-700,1998,1280,640,1,35,35,50,9,2,260
Fujifilm FinePix S1 Pro,2000,3040,2340,3,0,0,0,0,16,820
Fujifilm FinePix S2 Pro,2002,4256,3024,6,0,0,0,0,0,850
Fujifilm FinePix S3 Pro,2004,4256,3024,6,0,0,0,0,0,930
Fujifilm FinePix S5 Pro,2006,4256,3024,6,0,0,0,0,0,920
HP Photosmart 320,2002,1632,640,2,38,38,75,0,8,240
HP Photosmart 435,2003,2048,640,3,36,36,85,85,16,190
HP Photosmart 620,2002,1632,640,2,36,102,20,20,8,280
HP Photosmart 635,2003,1636,640,2,38,114,80,10,16,240
HP Photosmart 715,2001,2048,640,3,34,102,60,20,16,320
HP Photosmart 720,2002,2048,640,3,34,102,20,20,16,340
HP Photosmart 735,2003,2080,0,3,38,114,0,0,16,290
HP Photosmart 812,2002,2272,1136,3,37,111,50,14,0,245
HP Photosmart 850,2002,2272,1136,3,37,300,50,10,0,489
HP Photosmart 935,2003,2608,1296,5,37,111,50,14,32,260
HP Photosmart 945,2003,2608,1296,5,37,300,50,10,32,500
HP Photosmart C20,1998,1152,576,1,39,39,60,20,4,300
HP Photosmart C200,1999,1152,640,1,35,35,60,20,8,300
HP Photosmart C215,2000,1280,640,1,43,43,60,10,4,290
HP Photosmart C30,1998,1152,576,1,35,35,60,20,4,300
HP Photosmart C315,2000,1600,640,1,38,38,30,30,8,280
HP Photosmart C500,1999,1600,640,1,38,115,0,0,16,410
HP Photosmart C618,2000,1600,800,1,34,108,50,10,16,630
HP Photosmart C912,2000,1600,800,1,34,108,50,10,16,150
HP Photosmart E317,2005,2560,2048,5,35,35,60,10,16,231
HP Photosmart E327,2006,2560,2048,5,35,35,60,0,16,170
HP Photosmart E337,2007,2576,0,5,36,36,100,0,16,170
HP Photosmart M22,2005,2320,1600,4,36,36,0,0,16,172
HP Photosmart M23,2005,2320,1600,4,36,36,0,10,16,172
HP Photosmart M307,2004,2080,1280,3,40,111,80,10,16,177
HP Photosmart M407,2004,2320,1280,4,40,111,50,10,16,190
HP Photosmart M417,2005,2576,2048,5,36,108,50,12,16,181
HP Photosmart M425,2006,2576,2080,5,38,114,50,12,32,172
HP Photosmart M437,2007,2576,0,5,38,114,50,10,16,190
HP Photosmart M517,2005,2576,2048,5,36,108,80,12,16,190
HP Photosmart M525,2006,2800,2288,6,38,114,50,12,16,192
HP Photosmart M527,2006,2800,2288,6,38,114,50,12,16,227
HP Photosmart M537,2007,2848,0,6,38,114,50,0,32,157
HP Photosmart Mz67,2007,3264,0,8,35,210,0,14,32,157
HP Photosmart R507,2004,2320,1280,4,35,105,50,6,32,205
HP Photosmart R607,2004,2320,1280,4,35,105,50,14,32,205
HP Photosmart R707,2004,2608,1296,5,39,117,50,14,32,150
HP Photosmart R717,2005,2864,2592,6,39,117,50,10,32,150
HP Photosmart R725,2006,2864,2592,6,39,118,50,10,32,136
HP Photosmart R727,2006,2864,2592,6,39,118,50,5,32,190
HP Photosmart R742,2007,3096,0,7,36,108,50,3,32,190
HP Photosmart R817,2005,2592,2048,5,36,180,20,3,32,205
HP Photosmart R818,2005,2592,2048,5,36,180,20,1,32,200
HP Photosmart R837,2007,3112,0,7,39,118,50,12,32,227
HP Photosmart R927,2006,3296,2592,8,35,105,50,10,,
HP Photosmart R937,2007,3298,0,8,39,118,50,,,
JVC GC-QX3HD,2001,2032,1024,3,37,86,50,2,8,320
JVC GC-QX5HD,2001,2032,1024,3,37,86,50,2,16,320
Kodak C300,2005,2096,0,3,37,37,80,0,16,198
Kodak C310,2005,2336,2313,4,35,35,85,85,16,154
Kodak C330,2005,2336,2304,4,34,102,60,13,16,180
Kodak C340,2005,2576,0,5,34,102,60,13,16,198
Kodak C360,2005,2690,2569,5,34,102,60,7,32,170
Kodak C433,2006,2304,2048,4,36,108,60,10,16,180
Kodak C513,2007,2572,2048,5,36,108,60,13,16,188
Kodak C533,2006,2576,2048,5,37,111,60,10,16,200
Kodak C613,2007,2848,2048,6,36,108,60,13,16,187
Kodak C643,2006,2848,2304,6,36,108,60,13,22,195
Kodak C653,2007,2848,2304,6,36,108,60,10,22,195
Kodak C663,2006,2832,2304,6,34,102,60,5,32,190
Kodak C743,2006,3072,2304,7,37,111,60,13,32,195
Kodak C763,2007,3072,2592,7,35,105,60,5,32,180
Kodak C875,2006,3264,2560,8,37,185,60,10,32,225
Kodak CX4200,2002,1632,0,2,37,37,75,20,16,250
Kodak CX4230,2002,1632,0,2,36,108,50,10,16,280
Kodak CX4300,2002,2080,0,3,38,76,30,15,16,250
Kodak CX6200,2003,1632,0,2,37,37,50,50,8,195
Kodak CX6230,2003,1632,0,2,36,108,50,50,16,225
Kodak CX6330,2003,2032,0,3,37,111,60,60,16,225
Kodak CX7220,2004,0,0,2,37,78,50,60,16,195
Kodak CX7300,2004,2096,0,3,37,37,80,0,16,162
Kodak CX7330,2004,2032,0,3,37,111,60,13,16,225
Kodak CX7430,2004,2408,0,4,34,102,60,10,16,198
Kodak CX7530,2004,2560,0,4,34,102,60,10,32,240
Kodak DC200,1998,1152,640,0,39,39,70,0,4,400
Kodak DC200 plus,1999,1152,640,0,39,39,70,0,4,400
Kodak DC210 plus,1998,1152,640,0,29,58,50,20,8,400
Kodak DC215,1999,1152,640,0,29,58,50,20,4,320
Kodak DC220,1998,1152,640,0,29,58,50,20,8,550
Kodak DC240,1999,1280,640,1,39,117,50,25,8,420
Kodak DC260,1998,1536,768,1,38,115,30,0,8,550
Kodak DC265,1999,1536,768,1,38,115,30,0,16,550
Kodak DC280,1999,1760,896,2,30,60,50,25,20,420
Kodak DC290,1999,1792,1440,2,38,115,30,0,20,550
Kodak DC3200,2000,1152,576,0,39,39,60,0,2,240
Kodak DC3400,2000,1760,896,2,38,76,50,25,20,420
Kodak DC3800,2000,1760,896,2,33,33,50,20,0,200
Kodak DC4800,2000,2160,1800,3,28,84,50,20,16,320
Kodak DC5000,2000,1760,896,2,30,60,50,20,16,459
Kodak DCS 14n,2002,4536,3024,13,0,0,0,0,0,1000
