index,country,fertility,life_expect,n_fertility,n_life_expect,p_fertility,p_life_expect,year
54,,Bahamas,3.221,67.199,3.16,67.874,3.444,66.515,1975
55,,Bahamas,3.16,67.874,2.62,69.524,3.221,67.199,1980
56,,Bahamas,2.62,69.524,2.6,69.171,3.16,67.874,1985
57,,Bahamas,2.6,69.171,2.4,68.472,2.62,69.524,1990
58,,Bahamas,2.4,68.472,2.1111,71.068,2.6,69.171,1995
59,,Bahamas,2.1111,71.068,,,2.4,68.472,2000
60,,Bangladesh,6.76,39.348,6.85,41.216,,,1955
61,,Bangladesh,6.85,41.216,6.6,43.453,6.76,39.348,1960
62,,Bangladesh,6.6,43.453,6.15,45.252,6.85,41.216,1965
63,,Bangladesh,6.15,45.252,5.6,46.923,6.6,43.453,1970
64,,Bangladesh,5.6,46.923,5.25,50.009,6.15,45.252,1975
65,,Bangladesh,5.25,50.009,4.629,52.819,5.6,46.923,1980
66,,Bangladesh,4.629,52.819,4.117,56.018,5.25,50.009,1985
67,,Bangladesh,4.117,56.018,3.5042999999999997,59.412,4.629,52.819,1990
68,,Bangladesh,3.5042999999999997,59.412,3.224,62.013,4.117,56.018,1995
69,,Bangladesh,3.224,62.013,,,3.5042999999999997,59.412,2000
70,,Barbados,4.67,62.57,4.26,65.87,,,1955
71,,Barbados,4.26,65.87,3.45,67.62,4.67,62.57,1960
72,,Barbados,3.45,67.62,2.74,69.42,4.26,65.87,1965
73,,Barbados,2.74,69.42,2.19,71.27,3.45,67.62,1970
74,,Barbados,2.19,71.27,1.92,72.695,2.74,69.42,1975
75,,Barbados,1.92,72.695,1.75,74.027,2.19,71.27,1980
76,,Barbados,1.75,74.027,1.6,74.894,1.92,72.695,1985
77,,Barbados,1.6,74.894,1.5,74.912,1.75,74.027,1990
78,,Barbados,1.5,74.912,1.5,75.97,1.6,74.894,1995
79,,Barbados,1.5,75.97,,,1.5,74.912,2000
80,,Belgium,2.496,69.24,2.644,70.25,,,1955
81,,Belgium,2.644,70.25,2.392,70.94,2.496,69.24,1960
82,,Belgium,2.392,70.94,2.015,71.44,2.644,70.25,1965
83,,Belgium,2.015,71.44,1.705,72.8,2.392,70.94,1970
84,,Belgium,1.705,72.8,1.595,73.93,2.015,71.44,1975
85,,Belgium,1.595,73.93,1.5590000000000002,75.35,1.705,72.8,1980
86,,Belgium,1.5590000000000002,75.35,1.613,76.46,1.595,73.93,1985
87,,Belgium,1.613,76.46,1.604,77.53,1.5590000000000002,75.35,1990
88,,Belgium,1.604,77.53,1.638,78.32,1.613,76.46,1995
89,,Belgium,1.638,78.32,,,1.604,77.53,2000
90,,Bolivia,6.75,41.89,6.63,43.428,,,1955
91,,Bolivia,6.63,43.428,6.5600000000000005,45.032,6.75,41.89,1960
92,,Bolivia,6.5600000000000005,45.032,6.5,46.714,6.63,43.428,1965
93,,Bolivia,6.5,46.714,5.8,50.023,6.5600000000000005,45.032,1970
94,,Bolivia,5.8,50.023,5.2995,53.859,6.5,46.714,1975
95,,Bolivia,5.2995,53.859,5.0,57.251,5.8,50.023,1980
96,,Bolivia,5.0,57.251,4.8,59.957,5.2995,53.859,1985
97,,Bolivia,4.8,59.957,4.324,62.05,5.0,57.251,1990
98,,Bolivia,4.324,62.05,3.9585,63.883,4.8,59.957,1995
99,,Bolivia,3.9585,63.883,,,4.324,62.05,2000
100,,Brazil,6.1501,53.285,6.1501,55.665,,,1955
101,,Brazil,6.1501,55.665,5.38,57.632,6.1501,53.285,1960
102,,Brazil,5.38,57.632,4.7175,59.504,6.1501,55.665,1965
103,,Brazil,4.7175,59.504,4.305,61.489,5.38,57.632,1970
104,,Brazil,4.305,61.489,3.8,63.336,4.7175,59.504,1975
105,,Brazil,3.8,63.336,3.1,65.205,4.305,61.489,1980
106,,Brazil,3.1,65.205,2.6,67.057,3.8,63.336,1985
107,,Brazil,2.6,67.057,2.45,69.388,3.1,65.205,1990
108,,Brazil,2.45,69.388,2.345,71.006,2.6,67.057,1995
109,,Brazil,2.345,71.006,,,2.45,69.388,2000
110,,Canada,3.882,69.96,3.675,71.3,,,1955
111,,Canada,3.675,71.3,2.61,72.13,3.882,69.96,1960
112,,Canada,2.61,72.13,1.976,72.88,3.675,71.3,1965
113,,Canada,1.976,72.88,1.734,74.21,2.61,72.13,1970
114,,Canada,1.734,74.21,1.634,75.76,1.976,72.88,1975
115,,Canada,1.634,75.76,1.616,76.86,1.734,74.21,1980
116,,Canada,1.616,76.86,1.694,77.95,1.634,75.76,1985
117,,Canada,1.694,77.95,1.564,78.61,1.616,76.86,1990
118,,Canada,1.564,78.61,1.522,79.77,1.694,77.95,1995
119,,Canada,1.522,79.77,,,1.564,78.61,2000
120,,Chile,5.486,56.074,5.4385,57.924,,,1955
121,,Chile,5.4385,57.924,4.4405,60.523,5.486,56.074,1960
122,,Chile,4.4405,60.523,3.63,63.441,5.4385,57.924,1965
123,,Chile,3.63,63.441,2.803,67.052,4.4405,60.523,1970
124,,Chile,2.803,67.052,2.6710000000000003,70.565,3.63,63.441,1975
125,,Chile,2.6710000000000003,70.565,2.65,72.492,2.803,67.052,1980
126,,Chile,2.65,72.492,2.55,74.126,2.6710000000000003,70.565,1985
127,,Chile,2.55,74.126,2.21,75.816,2.65,72.492,1990
128,,Chile,2.21,75.816,2.0,77.86,2.55,74.126,1995
129,,Chile,2.0,77.86,,,2.21,75.816,2000
130,,China,5.59,50.54896,5.72,44.50136,,,1955
131,,China,5.72,44.50136,6.06,58.38112,5.59,50.54896,1960
132,,China,6.06,58.38112,4.86,63.11888,5.72,44.50136,1965
133,,China,4.86,63.11888,3.32,63.96736,6.06,58.38112,1970
134,,China,3.32,63.96736,2.55,65.525,4.86,63.11888,1975
135,,China,2.55,65.525,2.46,67.274,3.32,63.96736,1980
136,,China,2.46,67.274,1.92,68.69,2.55,65.525,1985
137,,China,1.92,68.69,1.7810000000000001,70.426,2.46,67.274,1990
138,,China,1.7810000000000001,70.426,1.7000000000000002,72.028,1.92,68.69,1995
139,,China,1.7000000000000002,72.028,,,1.7810000000000001,70.426,2000
140,,Colombia,6.76,55.118,6.76,57.863,,,1955
141,,Colombia,6.76,57.863,6.18,59.963,6.76,55.118,1960
142,,Colombia,6.18,59.963,5.0005,61.623,6.76,57.863,1965
143,,Colombia,5.0005,61.623,4.3385,63.837,6.18,59.963,1970
144,,Colombia,4.3385,63.837,3.685,66.653,5.0005,61.623,1975
145,,Colombia,3.685,66.653,3.172,67.768,4.3385,63.837,1980
146,,Colombia,3.172,67.768,2.93005,68.421,3.685,66.653,1985
147,,Colombia,2.93005,68.421,2.7,70.313,3.172,67.768,1990
148,,Colombia,2.7,70.313,2.4705,71.682,2.93005,68.421,1995
149,,Colombia,2.4705,71.682,,,2.7,70.313,2000
150,,Costa Rica,7.1135,60.026,7.2245,62.842,,,1955
151,,Costa Rica,7.2245,62.842,5.801,65.424,7.1135,60.026,1960
152,,Costa Rica,5.801,65.424,4.346,67.849,7.2245,62.842,1965
153,,Costa Rica,4.346,67.849,3.7755,70.75,5.801,65.424,1970
154,,Costa Rica,3.7755,70.75,3.527,73.45,4.346,67.849,1975
155,,Costa Rica,3.527,73.45,3.374,74.752,3.7755,70.75,1980
156,,Costa Rica,3.374,74.752,2.9450000000000003,75.713,3.527,73.45,1985
157,,Costa Rica,2.9450000000000003,75.713,2.5835,77.26,3.374,74.752,1990
158,,Costa Rica,2.5835,77.26,2.2815,78.123,2.9450000000000003,75.713,1995
159,,Costa Rica,2.2815,78.123,,,2.5835,77.26,2000
160,,Croatia,2.42,64.77,2.27,67.13,,,1955
161,,Croatia,2.27,67.13,2.09,68.5,2.42,64.77,1960
162,,Croatia,2.09,68.5,1.96,69.61,2.27,67.13,1965
163,,Croatia,1.96,69.61,2.02,70.64,2.09,68.5,1970
164,,Croatia,2.02,70.64,1.96,70.46,1.96,69.61,1975
165,,Croatia,1.96,70.46,1.8399999999999999,71.52,2.02,70.64,1980
166,,Croatia,1.8399999999999999,71.52,1.52,72.527,1.96,70.46,1985
167,,Croatia,1.52,72.527,1.537,73.68,1.8399999999999999,71.52,1990
168,,Croatia,1.537,73.68,1.348,74.876,1.52,72.527,1995
169,,Croatia,1.348,74.876,,,1.537,73.68,2000
170,,Cuba,3.6995,62.325,4.6805,65.246,,,1955
171,,Cuba,4.6805,65.246,4.3,68.29,3.6995,62.325,1960
172,,Cuba,4.3,68.29,3.6,70.723,4.6805,65.246,1965
173,,Cuba,3.6,70.723,2.15,72.649,4.3,68.29,1970
174,,Cuba,2.15,72.649,1.8495,73.717,3.6,70.723,1975
175,,Cuba,1.8495,73.717,1.8495,74.174,2.15,72.649,1980
176,,Cuba,1.8495,74.174,1.6505,74.414,1.8495,73.717,1985
177,,Cuba,1.6505,74.414,1.6095000000000002,76.151,1.8495,74.174,1990
178,,Cuba,1.6095000000000002,76.151,1.63,77.158,1.6505,74.414,1995
179,,Cuba,1.63,77.158,,,1.6095000000000002,76.151,2000
180,,Dominican Republic,7.6405,49.828,7.3505,53.459,,,1955
181,,Dominican Republic,7.3505,53.459,6.6495,56.751,7.6405,49.828,1960
182,,Dominican Republic,6.6495,56.751,5.71,59.631,7.3505,53.459,1965
183,,Dominican Republic,5.71,59.631,4.76,61.788,6.6495,56.751,1970
184,,Dominican Republic,4.76,61.788,4.0,63.727,5.71,59.631,1975
185,,Dominican Republic,4.0,63.727,3.47,66.046,4.76,61.788,1980
186,,Dominican Republic,3.47,66.046,3.1995,68.457,4.0,63.727,1985
187,,Dominican Republic,3.1995,68.457,3.05,69.957,3.47,66.046,1990
188,,Dominican Republic,3.05,69.957,2.95,70.847,3.1995,68.457,1995
189,,Dominican Republic,2.95,70.847,,,3.05,69.957,2000
190,,Ecuador,6.7,51.356,6.7,54.64,,,1955
191,,Ecuador,6.7,54.64,6.5,56.678,6.7,51.356,1960
192,,Ecuador,6.5,56.678,6.0005,58.796,6.7,54.64,1965
193,,Ecuador,6.0005,58.796,5.4005,61.31,6.5,56.678,1970
194,,Ecuador,5.4005,61.31,4.7005,64.342,6.0005,58.796,1975
195,,Ecuador,4.7005,64.342,4.0,67.231,5.4005,61.31,1980
196,,Ecuador,4.0,67.231,3.4005,69.613,4.7005,64.342,1985
197,,Ecuador,3.4005,69.613,3.1,72.312,4.0,67.231,1990
198,,Ecuador,3.1,72.312,2.8175,74.173,3.4005,69.613,1995
199,,Ecuador,2.8175,74.173,,,3.1,72.312,2000
200,,Egypt,6.97,44.444,7.073,46.992,,,1955
201,,Egypt,7.073,46.992,6.5600000000000005,49.293,6.97,44.444,1960
202,,Egypt,6.5600000000000005,49.293,5.855,51.137,7.073,46.992,1965
203,,Egypt,5.855,51.137,5.609,53.319,6.5600000000000005,49.293,1970
204,,Egypt,5.609,53.319,5.332,56.006,5.855,51.137,1975
205,,Egypt,5.332,56.006,4.833,59.797,5.609,53.319,1980
206,,Egypt,4.833,59.797,3.908,63.674,5.332,56.006,1985
207,,Egypt,3.908,63.674,3.5,67.217,4.833,59.797,1990
208,,Egypt,3.5,67.217,3.174,69.806,3.908,63.674,1995
209,,Egypt,3.174,69.806,,,3.5,67.217,2000
210,,El Salvador,6.8065,48.57,6.8469999999999995,52.307,,,1955
211,,El Salvador,6.8469999999999995,52.307,6.621,55.855,6.8065,48.57,1960
212,,El Salvador,6.621,55.855,6.0995,58.207,6.8469999999999995,52.307,1965
213,,El Salvador,6.0995,58.207,5.5996,56.696,6.621,55.855,1970
214,,El Salvador,5.5996,56.696,4.5,56.604,6.0995,58.207,1975
215,,El Salvador,4.5,56.604,3.901,63.154,5.5996,56.696,1980
216,,El Salvador,3.901,63.154,3.52,66.798,4.5,56.604,1985
217,,El Salvador,3.52,66.798,3.17,69.535,3.901,63.154,1990
218,,El Salvador,3.17,69.535,2.883,70.734,3.52,66.798,1995
219,,El Salvador,2.883,70.734,,,3.17,69.535,2000
220,,Finland,2.769,67.49,2.66,68.75,,,1955
221,,Finland,2.66,68.75,2.191,69.83,2.769,67.49,1960
222,,Finland,2.191,69.83,1.623,70.87,2.66,68.75,1965
223,,Finland,1.623,70.87,1.663,72.52,2.191,69.83,1970
224,,Finland,1.663,72.52,1.685,74.55,1.623,70.87,1975
225,,Finland,1.685,74.55,1.6600000000000001,74.83,1.663,72.52,1980
226,,Finland,1.6600000000000001,74.83,1.819,75.7,1.685,74.55,1985
227,,Finland,1.819,75.7,1.7429999999999999,77.13,1.6600000000000001,74.83,1990
228,,Finland,1.7429999999999999,77.13,1.754,78.37,1.819,75.7,1995
229,,Finland,1.754,78.37,,,1.7429999999999999,77.13,2000
230,,France,2.7119999999999997,68.93,2.85,70.51,,,1955
231,,France,2.85,70.51,2.607,71.55,2.7119999999999997,68.93,1960
232,,France,2.607,71.55,2.31,72.38,2.85,70.51,1965
233,,France,2.31,72.38,1.862,73.83,2.607,71.55,1970
234,,France,1.862,73.83,1.866,74.89,2.31,72.38,1975
235,,France,1.866,74.89,1.8050000000000002,76.34,1.862,73.83,1980
236,,France,1.8050000000000002,76.34,1.713,77.46,1.866,74.89,1985
237,,France,1.713,77.46,1.7624,78.64,1.8050000000000002,76.34,1990
238,,France,1.7624,78.64,1.8833000000000002,79.59,1.713,77.46,1995
239,,France,1.8833000000000002,79.59,,,1.7624,78.64,2000
240,,Georgia,2.909,62.625,2.979,64.644,,,1955
241,,Georgia,2.979,64.644,2.6109999999999998,66.654,2.909,62.625,1960
242,,Georgia,2.6109999999999998,66.654,2.601,68.158,2.979,64.644,1965
243,,Georgia,2.601,68.158,2.39,69.634,2.6109999999999998,66.654,1970
244,,Georgia,2.39,69.634,2.269,69.638,2.601,68.158,1975
245,,Georgia,2.269,69.638,2.263,70.45,2.39,69.634,1980
246,,Georgia,2.263,70.45,1.9500000000000002,70.465,2.269,69.638,1985
247,,Georgia,1.9500000000000002,70.465,1.58,70.49,2.263,70.45,1990
248,,Georgia,1.58,70.49,1.478,70.476,1.9500000000000002,70.465,1995
249,,Georgia,1.478,70.476,,,1.58,70.49,2000
250,,Germany,2.3,69.1,2.49,70.3,,,1955
251,,Germany,2.49,70.3,2.32,70.8,2.3,69.1,1960
252,,Germany,2.32,70.8,1.6400000000000001,71.0,2.49,70.3,1965
253,,Germany,1.6400000000000001,71.0,1.52,72.5,2.32,70.8,1970
254,,Germany,1.52,72.5,1.46,73.8,1.6400000000000001,71.0,1975
255,,Germany,1.46,73.8,1.43,74.847,1.52,72.5,1980
256,,Germany,1.43,74.847,1.31,76.07,1.46,73.8,1985
257,,Germany,1.31,76.07,1.34,77.34,1.43,74.847,1990
258,,Germany,1.34,77.34,1.346,78.67,1.31,76.07,1995
259,,Germany,1.346,78.67,,,1.34,77.34,2000
260,,Greece,2.27,67.86,2.2,69.51,,,1955
261,,Greece,2.2,69.51,2.38,71.0,2.27,67.86,1960
262,,Greece,2.38,71.0,2.32,72.34,2.2,69.51,1965
263,,Greece,2.32,72.34,2.32,73.68,2.38,71.0,1970
264,,Greece,2.32,73.68,1.96,75.24,2.32,72.34,1975
265,,Greece,1.96,75.24,1.53,76.67,2.32,73.68,1980
266,,Greece,1.53,76.67,1.37,77.03,1.96,75.24,1985
267,,Greece,1.37,77.03,1.296,77.869,1.53,76.67,1990
268,,Greece,1.296,77.869,1.2770000000000001,78.256,1.37,77.03,1995
269,,Greece,1.2770000000000001,78.256,,,1.296,77.869,2000
270,,Grenada,6.7,63.114,6.4,63.608,,,1955
271,,Grenada,6.4,63.608,4.8,64.091,6.7,63.114,1960
272,,Grenada,4.8,64.091,4.6,64.577,6.4,63.608,1965
273,,Grenada,4.6,64.577,4.3,65.035,4.8,64.091,1970
274,,Grenada,4.3,65.035,4.23,65.503,4.6,64.577,1975
275,,Grenada,4.23,65.503,4.14,66.002,4.3,65.035,1980
276,,Grenada,4.14,66.002,3.26,66.469,4.23,65.503,1985
277,,Grenada,3.26,66.469,2.814,66.986,4.14,66.002,1990
278,,Grenada,2.814,66.986,2.429,67.746,3.26,66.469,1995
279,,Grenada,2.429,67.746,,,2.814,66.986,2000
280,,Haiti,6.3,40.696,6.3,43.59,,,1955
281,,Haiti,6.3,43.59,6.0,46.243,6.3,40.696,1960
282,,Haiti,6.0,46.243,5.6005,48.042,6.3,43.59,1965
283,,Haiti,5.6005,48.042,5.8,49.923,6.0,46.243,1970
284,,Haiti,5.8,49.923,6.2099,51.461,5.6005,48.042,1975
285,,Haiti,6.2099,51.461,5.69985,53.636,5.8,49.923,1980
286,,Haiti,5.69985,53.636,5.14985,55.089,6.2099,51.461,1985
287,,Haiti,5.14985,55.089,4.61995,56.671,5.69985,53.636,1990
288,,Haiti,4.61995,56.671,4.0,58.137,5.14985,55.089,1995
289,,Haiti,4.0,58.137,,,4.61995,56.671,2000
290,,Hong Kong,4.72,64.75,5.31,67.65,,,1955
291,,Hong Kong,5.31,67.65,4.02,70.0,4.72,64.75,1960
292,,Hong Kong,4.02,70.0,2.89,72.0,5.31,67.65,1965
293,,Hong Kong,2.89,72.0,2.32,73.6,4.02,70.0,1970
294,,Hong Kong,2.32,73.6,1.8,75.45,2.89,72.0,1975
295,,Hong Kong,1.8,75.45,1.31,76.2,2.32,73.6,1980
296,,Hong Kong,1.31,76.2,1.288,77.601,1.8,75.45,1985
297,,Hong Kong,1.288,77.601,1.08,80.0,1.31,76.2,1990
298,,Hong Kong,1.08,80.0,0.9400000000000001,81.495,1.288,77.601,1995
299,,Hong Kong,0.9400000000000001,81.495,,,1.08,80.0,2000
300,,Iceland,4.023,73.47,3.943,73.68,,,1955
301,,Iceland,3.943,73.68,3.154,73.73,4.023,73.47,1960
302,,Iceland,3.154,73.73,2.843,74.46,3.943,73.68,1965
303,,Iceland,2.843,74.46,2.287,76.11,3.154,73.73,1970
304,,Iceland,2.287,76.11,2.248,76.99,2.843,74.46,1975
305,,Iceland,2.248,76.99,2.116,77.23,2.287,76.11,1980
306,,Iceland,2.116,77.23,2.194,78.77,2.248,76.99,1985
307,,Iceland,2.194,78.77,2.056,78.95,2.116,77.23,1990
308,,Iceland,2.056,78.95,1.9929999999999999,80.5,2.194,78.77,1995
309,,Iceland,1.9929999999999999,80.5,,,2.056,78.95,2000
310,,India,5.8961,40.249,5.8216,43.605,,,1955
311,,India,5.8216,43.605,5.6058,47.193,5.8961,40.249,1960
312,,India,5.6058,47.193,5.264,50.651,5.8216,43.605,1965
313,,India,5.264,50.651,4.8888,54.208,5.6058,47.193,1970
314,,India,4.8888,54.208,4.4975,56.596,5.264,50.651,1975
315,,India,4.4975,56.596,4.15,58.553,4.8888,54.208,1980
316,,India,4.15,58.553,3.8648,60.223,4.4975,56.596,1985
317,,India,3.8648,60.223,3.4551,61.765,4.15,58.553,1990
318,,India,3.4551,61.765,3.1132,62.879,3.8648,60.223,1995
319,,India,3.1132,62.879,,,3.4551,61.765,2000
320,,Indonesia,5.672,39.918,5.62,42.518,,,1955
321,,Indonesia,5.62,42.518,5.568,45.964,5.672,39.918,1960
322,,Indonesia,5.568,45.964,5.3,49.203,5.62,42.518,1965
323,,Indonesia,5.3,49.203,4.73,52.702,5.568,45.964,1970
324,,Indonesia,4.73,52.702,4.109,56.159,5.3,49.203,1975
325,,Indonesia,4.109,56.159,3.4,60.137,4.73,52.702,1980
326,,Indonesia,3.4,60.137,2.9,62.681,4.109,56.159,1985
327,,Indonesia,2.9,62.681,2.55,66.041,3.4,60.137,1990
328,,Indonesia,2.55,66.041,2.3761,68.588,2.9,62.681,1995
329,,Indonesia,2.3761,68.588,,,2.55,66.041,2000
330,,Iran,7.0,47.181,7.0,49.325,,,1955
331,,Iran,7.0,49.325,6.8,52.469,7.0,47.181,1960
332,,Iran,6.8,52.469,6.4,55.234,7.0,49.325,1965
333,,Iran,6.4,55.234,6.5,57.702,6.8,52.469,1970
334,,Iran,6.5,57.702,6.63,59.62,6.4,55.234,1975
335,,Iran,6.63,59.62,5.62,63.04,6.5,57.702,1980
336,,Iran,5.62,63.04,4.328,65.742,6.63,59.62,1985
337,,Iran,4.328,65.742,2.534,68.042,5.62,63.04,1990
338,,Iran,2.534,68.042,2.124,69.451,4.328,65.742,1995
339,,Iran,2.124,69.451,,,2.534,68.042,2000
340,,Iraq,7.3,48.437,7.25,51.457,,,1955
341,,Iraq,7.25,51.457,7.2,54.459,7.3,48.437,1960
342,,Iraq,7.2,54.459,7.15,56.95,7.25,51.457,1965
343,,Iraq,7.15,56.95,6.8,60.413,7.2,54.459,1970
344,,Iraq,6.8,60.413,6.35,62.038,7.15,56.95,1975
345,,Iraq,6.35,62.038,6.15,65.044,6.8,60.413,1980
346,,Iraq,6.15,65.044,5.7,59.461,6.35,62.038,1985
347,,Iraq,5.7,59.461,5.37,58.811,6.15,65.044,1990
348,,Iraq,5.37,58.811,4.858,57.046,5.7,59.461,1995
349,,Iraq,4.858,57.046,,,5.37,58.811,2000
350,,Ireland,3.68,68.9,3.979,70.29,,,1955
351,,Ireland,3.979,70.29,3.873,71.08,3.68,68.9,1960
352,,Ireland,3.873,71.08,3.815,71.28,3.979,70.29,1965
353,,Ireland,3.815,71.28,3.478,72.03,3.873,71.08,1970
354,,Ireland,3.478,72.03,2.877,73.1,3.815,71.28,1975
355,,Ireland,2.877,73.1,2.287,74.36,3.478,72.03,1980
356,,Ireland,2.287,74.36,1.9689999999999999,75.467,2.877,73.1,1985
357,,Ireland,1.9689999999999999,75.467,1.9,76.122,2.287,74.36,1990
358,,Ireland,1.9,76.122,1.9689999999999999,77.783,1.9689999999999999,75.467,1995
359,,Ireland,1.9689999999999999,77.783,,,1.9,76.122,2000
360,,Israel,3.893,67.84,3.852,69.39,,,1955
361,,Israel,3.852,69.39,3.79,70.75,3.893,67.84,1960
362,,Israel,3.79,70.75,3.77,71.63,3.852,69.39,1965
363,,Israel,3.77,71.63,3.409,73.06,3.79,70.75,1970
364,,Israel,3.409,73.06,3.125,74.45,3.77,71.63,1975
365,,Israel,3.125,74.45,3.051,75.6,3.409,73.06,1980
366,,Israel,3.051,75.6,2.933,76.93,3.125,74.45,1985
367,,Israel,2.933,76.93,2.942,78.269,3.051,75.6,1990
368,,Israel,2.942,78.269,2.906,79.696,2.933,76.93,1995
369,,Israel,2.906,79.696,,,2.942,78.269,2000
370,,Italy,2.35,67.81,2.498,69.24,,,1955
371,,Italy,2.498,69.24,2.493,71.06,2.35,67.81,1960
372,,Italy,2.493,71.06,2.325,72.19,2.498,69.24,1965
373,,Italy,2.325,72.19,1.889,73.48,2.493,71.06,1970
374,,Italy,1.889,73.48,1.53,74.98,2.325,72.19,1975
375,,Italy,1.53,74.98,1.349,76.42,1.889,73.48,1980
376,,Italy,1.349,76.42,1.275,77.44,1.53,74.98,1985
377,,Italy,1.275,77.44,1.213,78.82,1.349,76.42,1990
378,,Italy,1.213,78.82,1.286,80.24,1.275,77.44,1995
379,,Italy,1.286,80.24,,,1.213,78.82,2000
380,,Jamaica,5.08,62.61,5.64,65.61,,,1955
381,,Jamaica,5.64,65.61,5.78,67.51,5.08,62.61,1960
382,,Jamaica,5.78,67.51,5.0,69.0,5.64,65.61,1965
383,,Jamaica,5.0,69.0,4.0,70.11,5.78,67.51,1970
384,,Jamaica,4.0,70.11,3.55,71.21,5.0,69.0,1975
385,,Jamaica,3.55,71.21,3.1,71.77,4.0,70.11,1980
386,,Jamaica,3.1,71.77,2.84,71.766,3.55,71.21,1985
387,,Jamaica,2.84,71.766,2.67,72.262,3.1,71.77,1990
388,,Jamaica,2.67,72.262,2.628,72.047,2.84,71.766,1995
389,,Jamaica,2.628,72.047,,,2.67,72.262,2000
390,,Japan,2.08,65.5,2.02,68.73,,,1955
391,,Japan,2.02,68.73,2.0,71.43,2.08,65.5,1960
392,,Japan,2.0,71.43,2.07,73.42,2.02,68.73,1965
393,,Japan,2.07,73.42,1.81,75.38,2.0,71.43,1970
